ZIP,City,State,CountyName,RentPrice,LAT,LNG
22203,Arlington,VA,Arlington County,2851.6215090867263,38.873718,-77.117325
20770,Greenbelt,MD,Prince Georges County,2240.1159211159215,39.002985,-76.879165
20151,Chantilly,VA,Fairfax County,2844.3333333333335,38.896497,-77.445125
20737,East Riverdale,MD,Prince Georges County,1834.6296296296296,38.964265,-76.913538
22180,Vienna,VA,Fairfax County,2793.094871794872,38.895439,-77.256133
20903,Silver Spring,MD,Montgomery County,1714.6666666666667,39.021433,-76.980774
20716,Bowie,MD,Prince Georges County,2333.4871794871797,38.926428,-76.715028
20017,Washington,DC,District of Columbia,2267.3536796536796,38.938188,-76.992126
20871,Clarksburg,MD,Montgomery County,3113.3333333333335,39.261341,-77.282547
20190,Reston,VA,Fairfax County,2533.540740740741,38.959322,-77.339298
25414,Charles Town,WV,Jefferson County,2030.7333333333331,39.242415,-77.865749
20132,Purcellville,VA,Loudoun County,3075.0,39.16721,-77.72057
22205,Arlington,VA,Arlington County,3693.5416666666665,38.883501,-77.139537
22206,Arlington,VA,Arlington County,2377.4459459459463,38.843917,-77.089408
22311,Alexandria,VA,Alexandria City,1881.9314814814816,38.83362,-77.125462
22026,Dumfries,VA,Prince William County,3007.5,38.560041,-77.296214
22046,Falls Church,VA,Falls Church City,3042.057359307359,38.886334,-77.180975
22305,Alexandria,VA,Alexandria City,2158.127314814815,38.836463,-77.062098
20018,Washington,DC,District of Columbia,2249.002442002442,38.926576,-76.974446
20012,Washington,DC,District of Columbia,2239.8571428571427,38.976873,-77.032609
22151,Springfield,VA,Fairfax County,2880.666666666667,38.804093,-77.207804
20855,Derwood,MD,Montgomery County,2731.3611111111113,39.133184,-77.134383
20166,Sterling,VA,Loudoun County,2575.9555555555557,38.986273,-77.455778
20816,Bethesda,MD,Montgomery County,3451.4166666666665,38.95695,-77.120006
20866,Burtonsville,MD,Montgomery County,2443.888888888889,39.109275,-76.933973
22302,Arlington,VA,Arlington County,2352.054200542005,38.827888,-77.083132
22553,Fredericksburg,VA,Spotsylvania County,1826.7,38.271202,-77.649295
20015,Washington,DC,District of Columbia,2787.0833333333335,38.966889,-77.058323
21704,Frederick,MD,Frederick County,2587.4666666666667,39.354881,-77.3759
22181,Vienna,VA,Fairfax County,2808.571428571429,38.906651,-77.293388
22303,Huntington,VA,Fairfax County,2119.9636591478697,38.79438,-77.078837
22301,Alexandria,VA,Alexandria City,2627.6762820512818,38.819895,-77.059577
22044,Falls Church,VA,Fairfax County,2154.534188034188,38.862044,-77.154372
20005,Washington,DC,District of Columbia,2605.212173290369,38.904674,-77.031578
21774,New Market,MD,Frederick County,2465.7,39.410304,-77.268909
20024,Washington,DC,District of Columbia,2531.53978702606,38.876122,-77.025374
20851,Rockville,MD,Montgomery County,2683.733333333333,39.079082,-77.121858
22209,Arlington,VA,Arlington County,2786.845412217834,38.895023,-77.075464
20781,Edmonston,MD,Prince Georges County,2440.8333333333335,38.95286,-76.94629
20194,Reston,VA,Fairfax County,2569.7453703703704,38.981059,-77.340775
20037,Washington,DC,District of Columbia,2522.133333333333,38.898889,-77.055456
22060,Fort Belvoir,VA,Fairfax County,2433.6666666666665,38.69344,-77.153084
20036,Washington,DC,District of Columbia,2270.194444444444,38.907017,-77.041569
22213,Arlington,VA,Arlington County,3327.3333333333335,38.895078,-77.162521
20004,Washington,DC,District of Columbia,2687.0666666666666,38.894885,-77.028638
20006,Washington,DC,District of Columbia,2352.1888888888884,38.898609,-77.041461
